Trying 192.168.0.22...
Connected to graspr.
Escape character is '^]'.
START OF RUN:
1411434538163,channel 14,15,16,DEC(14),DEC(15),DEC(16)
1411434521607,0001101100110111,0000000000000000,0000000000000000,6967,0,0
1411434521609,0001101011111100,0000000000000000,0000000000000000,6908,0,0
1411434521611,0001101011100100,0000000000000000,0000000000000000,6884,0,0
1411434521612,0001101100110101,0000000000000000,0000000000000000,6965,0,0
1411434521614,0001101011011000,0000000000000000,0000000000000000,6872,0,0
1411434521616,0001101011100110,0000000000000000,0000000000000000,6886,0,0
1411434521617,0001101011101110,0000000000000000,0000000000000000,6894,0,0
1411434521619,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521621,0001101100001001,0000000000000000,0000000000000000,6921,0,0
1411434521622,0001101100001111,0000000000000000,0000000000000000,6927,0,0
1411434521624,0001101011101011,0000000000000000,0000000000000000,6891,0,0
1411434521625,0001101100001101,0000000000000000,0000000000000000,6925,0,0
1411434521627,0001101011010110,0000000000000000,0000000000000000,6870,0,0
1411434521629,0001101100011011,0000000000000000,0000000000000000,6939,0,0
1411434521631,0001101100001110,0000000000000000,0000000000000000,6926,0,0
1411434521632,0001101101111000,0000000000000000,0000000000000000,7032,0,0
1411434521634,0001101101001101,0000000000000000,0000000000000000,6989,0,0
1411434521635,0001101011110111,0000000000000000,0000000000000000,6903,0,0
1411434521637,0001101100010000,0000000000000000,0000000000000000,6928,0,0
1411434521639,0001101011011101,0000000000000000,0000000000000000,6877,0,0
1411434521641,0001101100011110,0000000000000000,0000000000000000,6942,0,0
1411434521642,0001101100011001,0000000000000000,0000000000000000,6937,0,0
1411434521644,0001101011001101,0000000000000000,0000000000000000,6861,0,0
1411434521646,0001101011001101,0000000000000000,0000000000000000,6861,0,0
1411434521647,0001101011101101,0000000000000000,0000000000000000,6893,0,0
1411434521649,0001101101101011,0000000000000000,0000000000000000,7019,0,0
1411434521651,0001101100111110,0000000000000000,0000000000000000,6974,0,0
1411434521652,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521654,0001101011001110,0000000000000000,0000000000000000,6862,0,0
1411434521656,0001101100100101,0000000000000000,0000000000000000,6949,0,0
1411434521657,0001101011011111,0000000000000000,0000000000000000,6879,0,0
1411434521659,0001101011111011,0000000000000000,0000000000000000,6907,0,0
1411434521660,0001101011110001,0000000000000000,0000000000000000,6897,0,0
1411434521662,0001101011010000,0000000000000000,0000000000000000,6864,0,0
1411434521664,0001101011110011,0000000000000000,0000000000000000,6899,0,0
1411434521665,0001101100110101,0000000000000000,0000000000000000,6965,0,0
1411434521667,0001101011001101,0000000000000000,0000000000000000,6861,0,0
1411434521669,0001101010001010,0000000000000000,0000000000000000,6794,0,0
1411434521670,0001101011100100,0000000000000000,0000000000000000,6884,0,0
1411434521672,0001101101000101,0000000000000000,0000000000000000,6981,0,0
1411434521674,0001101011110111,0000000000000000,0000000000000000,6903,0,0
1411434521676,0001101011001101,0000000000000000,0000000000000000,6861,0,0
1411434521678,0001101101011011,0000000000000000,0000000000000000,7003,0,0
1411434521680,0001101100011101,0000000000000000,0000000000000000,6941,0,0
1411434521682,0001101100000011,0000000000000000,0000000000000000,6915,0,0
1411434521683,0001101011011000,0000000000000000,0000000000000000,6872,0,0
1411434521685,0001101011100011,0000000000000000,0000000000000000,6883,0,0
1411434521687,0001101011111101,0000000000000000,0000000000000000,6909,0,0
1411434521688,0001101100011100,0000000000000000,0000000000000000,6940,0,0
1411434521690,0001101011101110,0000000000000000,0000000000000000,6894,0,0
1411434521692,0001101010100100,0000000000000000,0000000000000000,6820,0,0
1411434521693,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521695,0001101011000111,0000000000000000,0000000000000000,6855,0,0
1411434521697,0001101101001011,0000000000000000,0000000000000000,6987,0,0
1411434521698,0001101011011111,0000000000000000,0000000000000000,6879,0,0
1411434521700,0001101100000011,0000000000000000,0000000000000000,6915,0,0
1411434521702,0001101100000011,0000000000000000,0000000000000000,6915,0,0
1411434521703,0001101011011010,0000000000000000,0000000000000000,6874,0,0
1411434521705,0001101011011101,0000000000000000,0000000000000000,6877,0,0
1411434521706,0001101100100110,0000000000000000,0000000000000000,6950,0,0
1411434521708,0001101011101100,0000000000000000,0000000000000000,6892,0,0
1411434521710,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521711,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521713,0001101011101110,0000000000000000,0000000000000000,6894,0,0
1411434521715,0001101011111111,0000000000000000,0000000000000000,6911,0,0
1411434521716,0001101011111011,0000000000000000,0000000000000000,6907,0,0
1411434521718,0001101011100000,0000000000000000,0000000000000000,6880,0,0
1411434521720,0001101100101011,0000000000000000,0000000000000000,6955,0,0
1411434521721,0001101100001110,0000000000000000,0000000000000000,6926,0,0
1411434521723,0001101011001010,0000000000000000,0000000000000000,6858,0,0
1411434521725,0001101011111111,0000000000000000,0000000000000000,6911,0,0
1411434521726,0001101100010011,0000000000000000,0000000000000000,6931,0,0
1411434521728,0001101011011111,0000000000000000,0000000000000000,6879,0,0
1411434521730,0001101011100010,0000000000000000,0000000000000000,6882,0,0
1411434521731,0001101100111100,0000000000000000,0000000000000000,6972,0,0
1411434521733,0001101101100101,0000000000000000,0000000000000000,7013,0,0
1411434521735,0001101100001111,0000000000000000,0000000000000000,6927,0,0
1411434521736,0001101011101001,0000000000000000,0000000000000000,6889,0,0
1411434521738,0001101011101001,0000000000000000,0000000000000000,6889,0,0
1411434521740,0001101100000100,0000000000000000,0000000000000000,6916,0,0
1411434521741,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521743,0001101010110111,0000000000000000,0000000000000000,6839,0,0
1411434521745,0001101100100000,0000000000000000,0000000000000000,6944,0,0
1411434521746,0001101011101000,0000000000000000,0000000000000000,6888,0,0
1411434521748,0001101011010101,0000000000000000,0000000000000000,6869,0,0
1411434521750,0001101011101100,0000000000000000,0000000000000000,6892,0,0
1411434521751,0001101100001111,0000000000000000,0000000000000000,6927,0,0
1411434521753,0001101011111111,0000000000000000,0000000000000000,6911,0,0
1411434521755,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521756,0001101011001010,0000000000000000,0000000000000000,6858,0,0
1411434521758,0001101100010100,0000000000000000,0000000000000000,6932,0,0
1411434521759,0001101011111000,0000000000000000,0000000000000000,6904,0,0
1411434521761,0001101100010110,0000000000000000,0000000000000000,6934,0,0
1411434521763,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521764,0001101100010000,0000000000000000,0000000000000000,6928,0,0
1411434521766,0001101011100111,0000000000000000,0000000000000000,6887,0,0
1411434521768,0001101100000011,0000000000000000,0000000000000000,6915,0,0
1411434521769,0001101100100000,0000000000000000,0000000000000000,6944,0,0
1411434521771,0001101100111101,0000000000000000,0000000000000000,6973,0,0
1411434521773,0001101100110100,0000000000000000,0000000000000000,6964,0,0
1411434521774,0001101100111010,0000000000000000,0000000000000000,6970,0,0
1411434521776,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521779,0001101100011101,0000000000000000,0000000000000000,6941,0,0
1411434521781,0001101100001000,0000000000000000,0000000000000000,6920,0,0
1411434521783,0001101011101111,0000000000000000,0000000000000000,6895,0,0
1411434521784,0001101011101100,0000000000000000,0000000000000000,6892,0,0
1411434521786,0001101100001010,0000000000000000,0000000000000000,6922,0,0
1411434521787,0001101100011010,0000000000000000,0000000000000000,6938,0,0
1411434521789,0001101100000010,0000000000000000,0000000000000000,6914,0,0
1411434521791,0001101100100010,0000000000000000,0000000000000000,6946,0,0
1411434521792,0001101100111101,0000000000000000,0000000000000000,6973,0,0
1411434521794,0001101101001101,0000000000000000,0000000000000000,6989,0,0
1411434521796,0001101100000000,0000000000000000,0000000000000000,6912,0,0
1411434521797,0001101011011001,0000000000000000,0000000000000000,6873,0,0
1411434521799,0001101011010101,0000000000000000,0000000000000000,6869,0,0
1411434521801,0001101011101111,0000000000000000,0000000000000000,6895,0,0
1411434521802,0001101010111100,0000000000000000,0000000000000000,6844,0,0
1411434521804,0001101101110011,0000000000000000,0000000000000000,7027,0,0
1411434521806,0001101100100101,0000000000000000,0000000000000000,6949,0,0
1411434521807,0001101100111010,0000000000000000,0000000000000000,6970,0,0
1411434521809,0001101101100110,0000000000000000,0000000000000000,7014,0,0
1411434521811,0001101011101000,0000000000000000,0000000000000000,6888,0,0
1411434521812,0001101100001111,0000000000000000,0000000000000000,6927,0,0
1411434521814,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521816,0001101100101101,0000000000000000,0000000000000000,6957,0,0
1411434521817,0001101011011000,0000000000000000,0000000000000000,6872,0,0
1411434521819,0001101011101011,0000000000000000,0000000000000000,6891,0,0
1411434521820,0001101011110001,0000000000000000,0000000000000000,6897,0,0
1411434521822,0001101101110010,0000000000000000,0000000000000000,7026,0,0
1411434521824,0001101100011100,0000000000000000,0000000000000000,6940,0,0
1411434521825,0001101100100010,0000000000000000,0000000000000000,6946,0,0
1411434521827,0001101100100111,0000000000000000,0000000000000000,6951,0,0
1411434521829,0001101011110001,0000000000000000,0000000000000000,6897,0,0
1411434521830,0001101011111110,0000000000000000,0000000000000000,6910,0,0
1411434521832,0001101011110101,0000000000000000,0000000000000000,6901,0,0
1411434521834,0001101100100011,0000000000000000,0000000000000000,6947,0,0
1411434521835,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521837,0001101100011010,0000000000000000,0000000000000000,6938,0,0
1411434521839,0001101100011101,0000000000000000,0000000000000000,6941,0,0
1411434521840,0001101101110011,0000000000000000,0000000000000000,7027,0,0
1411434521842,0001101101001001,0000000000000000,0000000000000000,6985,0,0
1411434521843,0001101101000101,0000000000000000,0000000000000000,6981,0,0
1411434521845,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521847,0001101011011001,0000000000000000,0000000000000000,6873,0,0
1411434521848,0001101011011000,0000000000000000,0000000000000000,6872,0,0
1411434521850,0001101011101010,0000000000000000,0000000000000000,6890,0,0
1411434521852,0001101011011100,0000000000000000,0000000000000000,6876,0,0
1411434521853,0001101011110011,0000000000000000,0000000000000000,6899,0,0
1411434521855,0001101011011101,0000000000000000,0000000000000000,6877,0,0
1411434521857,0001101100100000,0000000000000000,0000000000000000,6944,0,0
1411434521858,0001101100011100,0000000000000000,0000000000000000,6940,0,0
1411434521860,0001101100000000,0000000000000000,0000000000000000,6912,0,0
1411434521862,0001101011100110,0000000000000000,0000000000000000,6886,0,0
1411434521863,0001101110000111,0000000000000000,0000000000000000,7047,0,0
1411434521865,0001101100100111,0000000000000000,0000000000000000,6951,0,0
1411434521867,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521868,0001101011110110,0000000000000000,0000000000000000,6902,0,0
1411434521870,0001101011110001,0000000000000000,0000000000000000,6897,0,0
1411434521872,0001101010101001,0000000000000000,0000000000000000,6825,0,0
1411434521873,0001101100111111,0000000000000000,0000000000000000,6975,0,0
1411434521875,0001101011010011,0000000000000000,0000000000000000,6867,0,0
1411434521877,0001101100100001,0000000000000000,0000000000000000,6945,0,0
1411434521879,0001101100111011,0000000000000000,0000000000000000,6971,0,0
1411434521881,0001101100110101,0000000000000000,0000000000000000,6965,0,0
1411434521883,0001101010111101,0000000000000000,0000000000000000,6845,0,0
1411434521885,0001101100101000,0000000000000000,0000000000000000,6952,0,0
1411434521886,0001101011101111,0000000000000000,0000000000000000,6895,0,0
1411434521888,0001101100110100,0000000000000000,0000000000000000,6964,0,0
1411434521890,0001101100110001,0000000000000000,0000000000000000,6961,0,0
1411434521891,0001101011110011,0000000000000000,0000000000000000,6899,0,0
1411434521893,0001101011110000,0000000000000000,0000000000000000,6896,0,0
1411434521895,0001101100001011,0000000000000000,0000000000000000,6923,0,0
1411434521897,0001101100101110,0000000000000000,0000000000000000,6958,0,0
1411434521898,0001101011100011,0000000000000000,0000000000000000,6883,0,0
1411434521900,0001101100110001,0000000000000000,0000000000000000,6961,0,0
1411434521902,0001101100011101,0000000000000000,0000000000000000,6941,0,0
1411434521903,0001101101000111,0000000000000000,0000000000000000,6983,0,0
1411434521905,0001101100001001,0000000000000000,0000000000000000,6921,0,0
1411434521906,0001101100110010,0000000000000000,0000000000000000,6962,0,0
1411434521908,0001101010001110,0000000000000000,0000000000000000,6798,0,0
1411434521910,0001101100110011,0000000000000000,0000000000000000,6963,0,0
1411434521911,0001101011110110,0000000000000000,0000000000000000,6902,0,0
1411434521913,0001101011110000,0000000000000000,0000000000000000,6896,0,0
1411434521915,0001101100000111,0000000000000000,0000000000000000,6919,0,0
1411434521916,0001101101011100,0000000000000000,0000000000000000,7004,0,0
1411434521918,0001101100010001,0000000000000000,0000000000000000,6929,0,0
1411434521920,0001101100001000,0000000000000000,0000000000000000,6920,0,0
1411434521921,0001101100001000,0000000000000000,0000000000000000,6920,0,0
1411434521923,0001101100001000,0000000000000000,0000000000000000,6920,0,0
1411434521925,0001101101010001,0000000000000000,0000000000000000,6993,0,0
1411434521926,0001101101001001,0000000000000000,0000000000000000,6985,0,0
1411434521928,0001101011100111,0000000000000000,0000000000000000,6887,0,0
1411434521930,0001101100110101,0000000000000000,0000000000000000,6965,0,0
1411434521931,0001101101010100,0000000000000000,0000000000000000,6996,0,0
1411434521933,0001101100011110,0000000000000000,0000000000000000,6942,0,0
1411434521935,0001101100111110,0000000000000000,0000000000000000,6974,0,0
1411434521936,0001101011110001,0000000000000000,0000000000000000,6897,0,0
1411434521938,0001101011010100,0000000000000000,0000000000000000,6868,0,0
